Date,Open,High,Low,Close,Volume,Adj Close
2016-12-19,2259.23999,2267.469971,2258.209961,2262.530029,3248370000,2262.530029
2016-12-16,2266.810059,2268.050049,2254.23999,2258.070068,5920340000,2258.070068
2016-12-15,2253.77002,2272.120117,2253.77002,2262.030029,4168200000,2262.030029
2016-12-14,2268.350098,2276.199951,2248.439941,2253.280029,4406970000,2253.280029
2016-12-13,2263.320068,2277.530029,2263.320068,2271.719971,3857590000,2271.719971
2016-12-12,2258.830078,2264.030029,2252.370117,2256.959961,4034510000,2256.959961
2016-12-09,2249.72998,2259.800049,2249.22998,2259.530029,3884480000,2259.530029
2016-12-08,2241.129883,2251.689941,2237.570068,2246.189941,4200580000,2246.189941
2016-12-07,2210.719971,2241.629883,2208.929932,2241.350098,4501820000,2241.350098

